Date	Price	Open	High	Low	Vol.	Change   
2026/01/07	91128.10	93739.20	93739.20	91077.50	68440.00	-0.0279
2026/01/06	93739.30	93862.10	94417.60	91544.40	64900.00	-0.0013
2026/01/05	93862.20	91543.70	94745.20	91543.70	73270.00	0.0253
2026/01/04	91545.40	90621.90	91757.90	90621.90	38270.00	0.0102
2026/01/03	90621.90	89982.00	90715.10	89337.00	26630.00	0.0071
2026/01/02	89982.70	88812.20	90913.50	88392.00	62700.00	0.0132
2026/01/01	88812.10	87614.10	88887.50	87520.60	26710.00	0.0137
2025/12/31	87612.70	88469.50	89119.30	87245.60	45910.00	-0.0097
2025/12/30	88469.60	87217.80	89365.60	86828.90	49160.00	0.0144
2025-12-29	87217.70	87912.00	90378.30	86827.70	75310.00	-0.0078
2025/12/28	87904.30	87853.00	88030.50	87448.90	21000.00	0.0006
2025/12/27	87850.80	87357.60	87935.10	87252.00	19680.00	0.0056
2025/12/26	87357.90	87248.00	89519.00	86684.70	66260.00	0.0012
2025/12/25	87249.30	87656.80	88524.00	86959.90	25910.00	-0.0046
2025/12/24	87656.80	87467.90	88009.60	86448.40	35440.00	0.0022
2025/12/23	87467.90	88550.60	88923.00	86651.20	49120.00	-0.0122
2025/12/22	88547.20	88640.60	90457.50	87945.70	53400.00	-0.001
2025/12/21	88636.80	88364.10	89059.00	87633.60	26470.00	0.0031
2025/12/20	88364.00	88131.40	88535.80	87958.30	19660.00	0.0026
2025/12/19	88131.40	85509.00	89347.80	85155.10	64260.00	0.0307
2025/12/18	85510.10	86229.80	89380.10	84490.50	73950.00	-0.0084
2025/12/17	86230.20	87859.50	90258.20	85351.40	61480.00	-0.0185
2025/12/16	87853.40	86429.20	88133.00	85392.10	59230.00	0.0165
2025/12/15	86428.60	88154.40	89974.10	85228.80	61650.00	-0.0196
2025/12/14	88155.30	90248.30	90472.30	87657.90	32260.00	-0.0232
2025/12/13	90249.30	90272.00	90638.10	89781.30	23470.00	-0.0003
2025/12/12	90272.00	92510.40	92744.60	89498.10	49840.00	-0.0242
2025/12/11	92507.40	92005.00	93539.40	89324.10	65640.00	0.0056
2025/12/10	91996.10	92685.70	94458.10	91608.00	61840.00	-0.0075
2025/12/09	92693.00	90636.10	94591.40	89592.20	68380.00	0.0227
2025/12/08	90636.20	90413.60	92269.10	89640.70	51820.00	0.0025
2025/12/07	90413.60	89209.80	91736.80	87747.60	38670.00	0.0135
